gene_id,gene_name
ENSG00000006327,TNFRSF12A
ENSG00000018607,ZNF806
ENSG00000026036,RTEL1-TNFRSF6B
ENSG00000053328,METTL24
ENSG00000067601,PMS2P4
ENSG00000070404,FSTL3
ENSG00000078319,PMS2P1
ENSG00000078401,EDN1
ENSG00000080947,CROCCP3
ENSG00000088340,FER1L4
ENSG00000088543,C3orf18
ENSG00000093100,XXbac-B461K10.4
ENSG00000093134,VNN3
ENSG00000099251,HSD17B7P2
ENSG00000100058,CRYBB2P1
ENSG00000100068,LRP5L
ENSG00000100181,TPTEP1
ENSG00000101342,TLDC2
ENSG00000101883,RHOXF1
ENSG00000102383,ZDHHC15
ENSG00000102678,FGF9
ENSG00000103472,RRN3P2
ENSG00000103832,GOLGA8UP
ENSG00000104499,GML
ENSG00000104970,KIR3DX1
ENSG00000105501,SIGLEC5
ENSG00000106133,NSUN5P2
ENSG00000106610,STAG3L4
ENSG00000107831,FGF8
ENSG00000108448,TRIM16L
ENSG00000108785,HSD17B1P1
ENSG00000109771,LRP2BP
ENSG00000111788,RP11-22B23.1
ENSG00000111886,GABRR2
ENSG00000112096,SOD2
ENSG00000112116,IL17F
ENSG00000112599,GUCA1B
ENSG00000113525,IL5
ENSG00000116652,DLEU2L
ENSG00000116883,RP11-268J15.5
ENSG00000117242,PINK1-AS
ENSG00000117481,NSUN4
ENSG00000118976,HIN1L
ENSG00000119737,GPR75
ENSG00000120055,C10orf95
ENSG00000120337,TNFSF18
ENSG00000120471,TP53AIP1
ENSG00000120555,SEPT7P9
ENSG00000121089,NACA3P
ENSG00000122859,NEUROG3
ENSG00000123870,ZNF137P
ENSG00000123965,PMS2P5
ENSG00000124103,FAM209A
ENSG00000124224,PPP4R1L
ENSG00000124374,PAIP2B
ENSG00000124549,BTN2A3P
ENSG00000124593,PRICKLE4
ENSG00000124835,AC105760.3
ENSG00000124915,RP11-467L20.10
ENSG00000125046,SSUH2
ENSG00000125122,LRRC29
ENSG00000125148,MT2A
ENSG00000125385,RP11-297B17.2
ENSG00000125462,C1orf61
ENSG00000125804,FAM182A
ENSG00000125841,NRSN2
ENSG00000127129,EDN2
ENSG00000127377,CRYGN
ENSG00000127561,SYNGR3
ENSG00000127589,TUBBP1
ENSG00000127743,IL17B
ENSG00000127922,SHFM1
ENSG00000127957,PMS2P3
ENSG00000128254,C22orf24
ENSG00000128438,TBC1D27
ENSG00000128692,EIF2S2P4
ENSG00000128917,DLL4
ENSG00000130165,ELOF1
ENSG00000130489,SCO2
ENSG00000130612,CYP2G1P
ENSG00000130723,PRRC2B
ENSG00000131044,TTLL9
ENSG00000131152,RP11-178L8.4
ENSG00000131401,NAPSB
ENSG00000131484,RP11-798G7.5
ENSG00000131797,CLUHP3
ENSG00000131885,KRT17P1
ENSG00000132832,RP11-445H22.3
ENSG00000132911,NMUR2
ENSG00000132967,HMGB1P5
ENSG00000133475,GGT2
ENSG00000133624,ZNF767
ENSG00000134297,PLEKHA8P1
ENSG00000134460,IL2RA
ENSG00000135502,SLC26A10
ENSG00000135747,ZNF670
ENSG00000137270,GCM1
ENSG00000137970,RPL7P9
ENSG00000138675,FGF5
ENSG00000139053,PDE6H
ENSG00000139239,RPL14P1
ENSG00000141748,ARL5C
ENSG00000143429,AC027612.6
ENSG00000143450,OAZ3
ENSG00000144158,RP11-395L14.17
ENSG00000144214,LYG1
ENSG00000144785,RP11-977G19.10
ENSG00000145075,CCDC39
ENSG00000146001,PCDHB18
ENSG00000146013,GFRA3
ENSG00000146215,CRIP3
ENSG00000146373,RNF217
ENSG00000146556,WASH2P
ENSG00000147174,ACRC
ENSG00000148156,ACTL7B
ENSG00000149531,FRG1B
ENSG00000149609,C20orf144
ENSG00000149656,LINC00266-1
ENSG00000150175,FRMPD2P2
ENSG00000150276,PPIAP26
ENSG00000150783,TEX12
ENSG00000151303,AGAP11
ENSG00000152117,AC093838.4
ENSG00000152931,PART1
ENSG00000153363,LINC00467
ENSG00000154102,C16orf74
ENSG00000154537,FAM27C
ENSG00000154608,CEP170P1
ENSG00000154874,CCDC144B
ENSG00000154898,CCDC144CP
ENSG00000155754,ALS2CR11
ENSG00000157021,FAM92A1P1
ENSG00000157306,RP11-66N24.4
ENSG00000158427,TMSB15B
ENSG00000158482,SNX29P1
ENSG00000158483,FAM86C1
ENSG00000158815,FGF17
ENSG00000159239,C2orf81
ENSG00000159860,FAM115D
ENSG00000159904,ZNF890P
ENSG00000160172,FAM86C2P
ENSG00000160318,CLDND2
ENSG00000160471,COX6B2
ENSG00000160766,GBAP1
ENSG00000160818,GPATCH4
ENSG00000161133,USP41
ENSG00000161149,TUBA3FP
ENSG00000161912,ADCY10P1
ENSG00000162543,UBXN10
ENSG00000162888,C1orf147
ENSG00000162913,C1orf145
ENSG00000162981,FAM84A
ENSG00000162997,PRORSD1P
ENSG00000163009,C2orf48
ENSG00000163016,ALMS1P
ENSG00000163046,ANKRD30BL
ENSG00000163352,LENEP
ENSG00000163597,SNHG16
ENSG00000163793,DNAJC5G
ENSG00000163806,SPDYA
ENSG00000164334,FAM170A
ENSG00000164385,C6orf195
ENSG00000164393,GPR111
ENSG00000164406,LEAP2
ENSG00000164556,FAM183B
ENSG00000164669,INTS4L1
ENSG00000165121,RP11-213G2.3
ENSG00000165178,NCF1C
ENSG00000165188,RNF183
ENSG00000165197,FIGF
ENSG00000165511,C10orf25
ENSG00000165948,IFI27L1
ENSG00000166035,LIPC
ENSG00000166104,hsa-mir-7162
ENSG00000166192,SENP8
ENSG00000166359,WDR88
ENSG00000166546,BEAN1
ENSG00000166763,STRCP1
ENSG00000167046,RP11-93B14.6
ENSG00000167100,SAMD14
ENSG00000167523,SPATA33
ENSG00000167664,TMIGD2
ENSG00000167747,C19orf48
ENSG00000167798,C3P1
ENSG00000167807,CTD-2369P2.10
ENSG00000167920,TMEM99
ENSG00000168126,OR2W6P
ENSG00000168314,MOBP
ENSG00000168405,CMAHP
ENSG00000168852,TPTE2P5
ENSG00000168992,OR7E102P
ENSG00000169040,PMCHL2
ENSG00000169246,NPIPB3
ENSG00000169314,C22orf15
ENSG00000169668,BCRP2
ENSG00000169715,MT1E
ENSG00000170089,RP11-423H2.1
ENSG00000170161,RP11-262H14.4
ENSG00000170293,CMTM8
ENSG00000170356,OR2A20P
ENSG00000170629,DPY19L2P2
ENSG00000170683,OR10A3
ENSG00000170919,TPT1-AS1
ENSG00000171084,FAM86JP
ENSG00000171101,SIGLEC17P
ENSG00000171133,OR2K2
ENSG00000171224,C10orf35
ENSG00000171357,LURAP1
ENSG00000171388,APLN
ENSG00000171462,DLK2
ENSG00000171501,OR1N2
ENSG00000171570,RAB4B-EGLN2
ENSG00000171658,RP11-443P15.2
ENSG00000171729,TMEM51
ENSG00000172014,ANKRD20A4
ENSG00000172250,SERHL
ENSG00000172460,PRSS30P
ENSG00000172538,FAM170B
ENSG00000172799,ZBTB8OSP2
ENSG00000172900,AP002387.1
ENSG00000172965,MIR4435-1HG
ENSG00000172974,AC007318.5
ENSG00000173077,DEC1
ENSG00000173209,AHSA2
ENSG00000173295,FAM86B3P
ENSG00000173366,TLR9
ENSG00000173452,TMEM196
ENSG00000173557,C2orf70
ENSG00000173699,SPATA3
ENSG00000173727,AP000769.1
ENSG00000173862,RP11-89N17.1
ENSG00000173867,RP11-97O12.7
ENSG00000174028,FAM3C2
ENSG00000174171,RP11-23P13.6
ENSG00000174236,REP15
ENSG00000174353,STAG3L3
ENSG00000174365,SNHG11
ENSG00000174370,C11orf45
ENSG00000174384,RP11-313P13.4
ENSG00000174453,VWC2L
ENSG00000174715,RP11-79L9.2
ENSG00000174792,C4orf26
ENSG00000174912,METTL15P1
ENSG00000174945,AMZ1
ENSG00000174977,AC026271.5
ENSG00000175061,FAM211A-AS1
ENSG00000175147,TMEM51-AS1
ENSG00000175164,ABO
ENSG00000175170,FAM182B
ENSG00000175202,HIGD2B
ENSG00000175449,RFESD
ENSG00000175604,RP11-276H1.3
ENSG00000175611,LINC00476
ENSG00000175676,GOLGA8EP
ENSG00000175699,LINC00521
ENSG00000175730,BAK1P1
ENSG00000175741,RWDD4P2
ENSG00000175749,EIF3KP1
ENSG00000175773,RP11-121M22.1
ENSG00000175779,C15orf53
ENSG00000175809,ZNF645
ENSG00000175841,FAM172BP
ENSG00000175886,RPL7AP66
ENSG00000175967,RP11-544L8__B.4
ENSG00000175985,PLEKHD1
ENSG00000176054,RPL23P2
ENSG00000176124,DLEU1
ENSG00000176236,C10orf111
ENSG00000176320,RP11-404O13.5
ENSG00000176593,CTD-2368P22.1
ENSG00000176659,C20orf197
ENSG00000176700,SCAND2P
ENSG00000176716,OR10AB1P
ENSG00000176753,C15orf56
